Ticker,Date,Open,High,Low,Close,Adj Close,Volume
META,3/7/16,108.07,108.07,104.720001,105.730003,105.617943,31436400
META,3/8/16,104.779999,107.370003,104.400002,105.93,105.817726,25617000
META,3/9/16,106.699997,107.510002,105.489998,107.510002,107.396057,20493300
META,3/10/16,107.910004,108.660004,105.769997,107.32,107.206253,24854300
META,3/11/16,108.480003,109.419998,107.919998,109.410004,109.294044,20697600
META,3/14/16,109.279999,110.330002,108.769997,109.889999,109.773529,17249400
META,3/15/16,109.110001,110.830002,108.839996,110.669998,110.552704,17618500
META,3/16/16,110.489998,112.5,110.099998,112.18,112.061104,24744800
META,3/17/16,112.150002,112.690002,110.730003,111.019997,110.902328,24241200
META,3/18/16,111.559998,112.419998,110.269997,111.449997,111.331871,36256900
META,3/21/16,111.660004,112.370003,111.029999,111.849998,111.731453,18448000
META,3/22/16,111.360001,112.879997,111.169998,112.25,112.131027,19001100
META,3/23/16,112.010002,113.190002,112,112.540001,112.420723,18562000
META,3/24/16,112.129997,113.089996,111.68,113.050003,112.930183,17839100
META,3/28/16,113.32,114.589996,112.949997,113.690002,113.569504,21351800
META,3/29/16,113.830002,116.32,113.639999,116.139999,116.016907,29825300
META,3/30/16,116.730003,116.989998,114.360001,114.699997,114.57843,33235200
META,3/31/16,114.699997,115.010002,113.769997,114.099998,113.979065,21207500
META,4/1/16,113.75,116.169998,113.349998,116.059998,115.936989,24760500
META,4/4/16,114.07,114.550003,111.610001,112.550003,112.43071,48487900
META,4/5/16,112.110001,113.32,111.900002,112.220001,112.101059,22962400
META,4/6/16,112.470001,113.809998,112.419998,113.709999,113.589478,20814600
META,4/7/16,113.790001,114.889999,113.07,113.639999,113.519554,20714500
META,4/8/16,114.25,114.330002,109.900002,110.629997,110.512741,48497800
META,4/11/16,110.699997,110.910004,108.769997,108.989998,108.874481,39762300
META,4/12/16,109.339996,111.160004,108.989998,110.610001,110.492767,26248100
META,4/13/16,112.230003,112.650002,106.519997,110.510002,110.392876,88227400
META,4/14/16,110.620003,112.040001,110.260002,110.839996,110.722519,28473300
META,4/15/16,110.790001,110.970001,109.199997,109.639999,109.523796,20922800
META,4/18/16,109.739998,110.809998,109.199997,110.449997,110.332932,21167200
META,4/19/16,111.099998,112.449997,109.160004,112.290001,112.170982,30210500
META,4/20/16,112.43,113.269997,111.559998,112.419998,112.300842,21027900
META,4/21/16,112.550003,114.040001,112.309998,113.440002,113.319771,20875200
META,4/22/16,111.209999,111.75,109.010002,110.559998,110.442818,38458200
META,4/25/16,109.870003,110.669998,109.07,110.099998,109.983307,21017900
META,4/26/16,110.489998,110.5,108.150002,108.760002,108.64473,22521500
META,4/27/16,107.940002,108.940002,106.309998,108.889999,108.77459,52213100
META,4/28/16,119.580002,120.790001,116.230003,116.730003,116.606285,87110100
META,4/29/16,116.82,117.839996,115.839996,117.580002,117.455383,37140600
META,5/2/16,117.830002,118.730003,116.57,118.57,118.444328,28095200
META,5/3/16,117.519997,118.160004,117.019997,117.43,117.305534,24117500
META,5/4/16,116.610001,118.300003,116.57,118.059998,117.934868,23448400
META,5/5/16,118.040001,118.980003,117.25,117.809998,117.685135,22056700
META,5/6/16,117.160004,119.639999,117.110001,119.489998,119.36335,26395600
META,5/9/16,119.540001,120.279999,118.900002,119.239998,119.113617,21138100
META,5/10/16,119.620003,120.5,119,120.5,120.372284,23220000
META,5/11/16,120.410004,121.080002,119.419998,119.519997,119.393318,22038400
META,5/12/16,119.980003,120.839996,118.900002,120.279999,120.152512,22035500
META,5/13/16,120.379997,120.639999,119.68,119.809998,119.683014,18124300
META,5/16/16,119.379997,119.610001,117.349998,118.669998,118.54422,31247800
